BIOZ1_TOMO,EXC_FREQ_KHZ,GND_OUTPUT,EXC_OUTPUT,SENSE_OUTPUT,PACKET_NUMBER
56.598613680761645,10,1,5,3,106
64.0616577288639,10,1,5,4,192
109.58113395302759,10,1,5,5,36
65.71817720797442,10,1,5,6,136
61.437937882031925,10,1,5,7,236
59.38021579454035,10,1,5,8,80
47.89267080491889,10,1,6,2,24
55.08788752923569,10,1,6,3,124
59.62242448457465,10,1,6,4,224
65.78701489337665,10,1,6,5,68
114.79102436230416,10,1,6,6,168
67.5768731480108,10,1,6,7,12
63.04257238845929,10,1,6,8,112
47.48743067677778,10,1,7,2,56
54.100936020813705,10,1,7,3,156
57.64399012284457,10,1,7,4,0
61.43606510184488,10,1,7,5,100
67.54893736819078,10,1,7,6,200
116.20493086087848,10,1,7,7,44
68.90155625778414,10,1,7,8,144
47.21204143961882,10,1,8,2,88
53.40277591100385,10,1,8,3,188
56.41101972916228,10,1,8,4,32
59.341118071543605,10,1,8,5,132
62.960961122980095,10,1,8,6,232
68.94992910738385,10,1,8,7,76
116.76332820881981,10,1,8,8,176
40.6474389190465,10,2,3,1,120
92.76261026154202,10,2,3,3,220
50.462256121766245,10,2,3,4,64
48.160417799537434,10,2,3,5,164
47.208816108025175,10,2,3,6,8
46.78552262756827,10,2,3,7,108
46.20270128360591,10,2,3,8,208
43.178861538094125,10,2,4,1,152
50.4669257895213,10,2,4,3,252
104.345864205428,10,2,4,4,96
58.768518311194875,10,2,4,5,196
54.944134670978265,10,2,4,6,40
53.89634332080649,10,2,4,7,140
52.463871782039114,10,2,4,8,240
44.032783981260955,10,2,5,1,184
48.111776422473525,10,2,5,3,28
58.825770732786516,10,2,5,4,128
105.50710297381748,10,2,5,5,228
61.966274684042936,10,2,5,6,72
58.52025826986139,10,2,5,7,172
56.296820629954375,10,2,5,8,16
44.628437270988414,10,2,6,1,216
47.14527754328905,10,2,6,3,60
54.924241680845476,10,2,6,4,160
61.908991394308494,10,2,6,5,4
110.9880336854386,10,2,6,6,104
65.23437893790545,10,2,6,7,204
60.47729026119432,10,2,6,8,48
44.9689317964402,10,2,7,1,248
46.58671887401815,10,2,7,3,92
53.37408947748784,10,2,7,4,192
58.00066069503142,10,2,7,5,36
64.71818496166165,10,2,7,6,136
114.37660726908493,10,2,7,7,236
66.78896826742104,10,2,7,8,80
45.3453769380149,10,2,8,1,24
46.20612721159316,10,2,8,3,124
52.41328515855845,10,2,8,4,224
56.25445766666926,10,2,8,5,68
60.49685579943248,10,2,8,6,168
67.26623724696289,10,2,8,7,12
114.99036417464495,10,2,8,8,112
43.70403403960879,10,3,4,1,56
40.908796473079136,10,3,4,2,156
94.76586088011624,10,3,4,4,0
51.54033531231628,10,3,4,5,100
48.579672060155644,10,3,4,6,200
47.58472625304025,10,3,4,7,44
47.06906375291128,10,3,4,8,144
47.097515124620664,10,3,5,1,88
43.20312705301284,10,3,5,2,188
51.526391144117135,10,3,5,4,32
100.25480277584258,10,3,5,5,132
58.130849989409874,10,3,5,6,232
54.62691867353814,10,3,5,7,76
53.233707160833305,10,3,5,8,176
48.522338886938805,10,3,6,1,120
44.19086847106727,10,3,6,2,220
48.63649387981055,10,3,6,4,64
57.93794020267858,10,3,6,5,164
108.4729796783259,10,3,6,6,8
62.269680436569026,10,3,6,7,108
58.42801750839642,10,3,6,8,208
49.34710297629696,10,3,7,1,152
44.73726652222017,10,3,7,2,252
47.61188321876236,10,3,7,4,96
54.59454946771712,10,3,7,5,196
62.677863128897926,10,3,7,6,40
111.87315568030898,10,3,7,7,140
65.26252918139586,10,3,7,8,240
49.98230554160555,10,3,8,1,184
45.12786005918206,10,3,8,2,28
47.049083009849916,10,3,8,4,128
53.21010855705204,10,3,8,5,228
58.84355308740483,10,3,8,6,72
65.232299859634,10,3,8,7,172
113.76531734406313,10,3,8,8,16
45.120535899876685,10,4,5,1,216
44.28805184856164,10,4,5,2,60
41.829627707940155,10,4,5,3,160
90.55837249427161,10,4,5,5,4
51.23850453155624,10,4,5,6,104
48.83846723956172,10,4,5,7,204
47.96729001301286,10,4,5,8,48
49.58162955381166,10,4,6,1,248
48.139964560979514,10,4,6,2,92
44.71409532172174,10,4,6,3,192
51.20255023516433,10,4,6,5,36
104.15527923068129,10,4,6,6,136
59.454951123926804,10,4,6,7,236
56.04191190412064,10,4,6,8,80
51.50929820654873,10,4,7,1,24
49.72413777004141,10,4,7,2,124
45.74667024151027,10,4,7,3,224
48.83661919181752,10,4,7,5,68
59.433156923798144,10,4,7,6,168
110.05755879665375,10,4,7,7,12
63.837573285683554,10,4,7,8,112
